Unnamed: 0,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
0,13500,23.0,46986,Diesel,90,1.0,0,2000,three,1165
1,13750,23.0,72937,Diesel,90,1.0,0,2000,3,1165
2,13950,24.0,41711,Diesel,90,0.6749611197511665,0,2000,3,1165
3,14950,26.0,48000,Diesel,90,0.0,0,2000,3,1165
4,13750,30.0,38500,Diesel,90,0.0,0,2000,3,1170
5,12950,32.0,61000,Diesel,90,0.0,0,2000,3,1170
6,16900,27.0,??,Diesel,????,0.6749611197511665,0,2000,3,1245
7,18600,30.0,75889,Petrol,90,1.0,0,2000,3,1245
8,21500,27.0,19700,Petrol,192,0.0,0,1800,3,1185
9,12950,23.0,71138,Diesel,????,0.6749611197511665,0,1900,3,1105
10,20950,25.0,31461,Petrol,192,0.0,0,1800,3,1185
11,19950,22.0,43610,Petrol,192,0.0,0,1800,3,1185
12,19600,25.0,32189,Petrol,192,0.0,0,1800,3,1185
13,21500,31.0,23000,Petrol,192,1.0,0,1800,3,1185
14,22500,32.0,34131,Petrol,192,1.0,0,1800,3,1185
15,22000,28.0,18739,Petrol,????,0.0,0,1800,3,1185
16,22750,30.0,34000,Petrol,192,1.0,0,1800,3,1185
17,17950,24.0,21716,Petrol,110,1.0,0,1600,3,1105
18,16750,24.0,25563,Petrol,110,0.0,0,1600,3,1065
19,16950,30.0,64359,Petrol,110,1.0,0,1600,3,1105
20,15950,30.0,67660,Petrol,110,1.0,0,1600,3,1105
21,16950,29.0,43905,Petrol,110,0.0,1,1600,3,1170
22,15950,28.0,56349,Petrol,110,1.0,0,1600,3,1120
23,16950,28.0,32220,Petrol,110,1.0,0,1600,3,1120
24,16250,29.0,25813,Petrol,110,1.0,0,1600,3,1120
25,15950,25.0,28450,Petrol,110,1.0,0,1600,3,1120
26,17495,27.0,34545,Petrol,110,1.0,0,1600,3,1120
27,15750,29.0,41415,Petrol,110,1.0,0,1600,3,1120
28,16950,28.0,44142,Petrol,110,0.0,0,1600,3,1120
29,17950,30.0,11090,Petrol,110,0.6749611197511665,0,1600,3,1120
30,12950,29.0,9750,Petrol,97,1.0,0,1400,3,1100
31,15750,22.0,35199,Petrol,97,1.0,0,1400,3,1100
32,15950,27.0,29510,Petrol,97,1.0,0,1400,3,1100
33,14950,60.0,32692,Petrol,97,1.0,0,1400,3,1100
34,15500,22.0,41000,Petrol,97,1.0,0,1400,3,1100
35,15750,26.0,43000,Petrol,97,0.0,0,1400,3,1100
36,15950,25.0,25000,Petrol,97,0.0,0,1400,3,1100
37,14950,23.0,10000,Petrol,97,1.0,0,1400,3,1100
38,15750,32.0,25329,Petrol,97,1.0,0,1400,3,1100
39,14750,27.0,27500,Petrol,97,0.0,0,1400,3,1100
40,13950,22.0,49059,Petrol,97,0.0,0,1400,3,1100
41,16750,27.0,44068,Petrol,97,1.0,0,1400,3,1100
42,13950,22.0,46961,Petrol,97,0.0,0,1400,3,1100
43,16950,27.0,110404,Diesel,90,0.6749611197511665,0,2000,5,1255
44,16950,22.0,100250,Petrol,90,0.0,0,2000,5,1255
45,19000,23.0,84000,Diesel,90,0.6749611197511665,0,2000,5,1270
46,17950,27.0,79375,Diesel,90,1.0,0,2000,5,1255
47,15800,22.0,75048,Petrol,97,1.0,0,1400,5,1110
48,17950,22.0,72215,Diesel,90,1.0,0,2000,5,1255
49,21950,31.0,64982,Petrol,192,0.6749611197511665,0,1800,5,1195
50,17950,22.0,62636,Diesel,90,1.0,0,2000,5,1255
51,15750,30.0,57086,Petrol,97,1.0,0,1400,5,1110
52,20500,26.0,56000,Petrol,110,1.0,1,1600,5,1180
53,21950,27.0,49866,Petrol,192,1.0,0,1800,5,1195
54,15500,25.0,49163,Petrol,110,0.0,1,1600,5,1165
55,13250,60.0,45725,Petrol,110,1.0,0,1600,5,1075
56,15250,28.0,43210,Petrol,97,0.0,0,1400,5,1110
57,15250,26.0,43000,Petrol,97,0.0,0,1400,5,1110
58,18950,23.0,39704,Petrol,110,1.0,1,1600,5,1180
59,15999,30.0,38950,Petrol,110,1.0,0,1600,5,1130
